search,non_terminals,derivation_rules,time,programs,queue,bank,seed
beap_search,12,35,17.931960122537312,1000000,3,1999999,3
heap_search,12,35,45.21522513646617,1000000,7,2000003,3
cd4,12,35,12.87184905659164,1000000,3,2000002,3
cd16,12,35,12.971993300269547,1000000,3,2000011,3
cd64,12,35,12.287973425383829,1000000,3,2000010,3
bee_search,22,65,57.228659564519646,1000000,20,14019171,3
beap_search,22,65,21.43992930051407,1000000,7,1999999,3
heap_search,22,65,43.655290858181814,1000000,14,2000006,3
cd4,22,65,16.142913708870967,1000000,8,2000000,3
cd16,22,65,16.584698169337017,1000000,8,1999999,3
cd64,22,65,15.985804938482024,1000000,8,2000000,3
bee_search,4,11,18.240291921580546,1000000,0,3538705,4
beap_search,4,11,12.967168038387097,1000000,0,2000001,4
heap_search,4,11,40.28220343959732,1000000,1,2000000,4
cd4,4,11,11.967917449397707,1000000,0,2000129,4
cd16,4,11,11.368416172632577,1000000,0,2000017,4
cd64,4,11,11.596748702608696,1000000,0,2000230,4
bee_search,6,17,22.131238404841042,1000000,1,4700734,4
beap_search,6,17,12.441669768297656,1000000,1,2000003,4
heap_search,6,17,41.97567071422348,1000000,2,2000001,4
cd4,6,17,11.698079046686159,1000000,1,2000165,4
cd16,6,17,11.532826915369837,1000000,1,2000025,4
cd64,6,17,11.260526664727955,1000000,1,2000146,4
bee_search,8,23,23.850345271331975,1000000,2,5451460,4
beap_search,8,23,14.657448042735043,1000000,1,1999999,4
heap_search,8,23,43.590103106159425,1000000,5,2000001,4
cd4,8,23,11.840756940729785,1000000,2,2000093,4
cd16,8,23,11.940510498109454,1000000,2,2000037,4
cd64,8,23,11.410294951330798,1000000,2,2000004,4
bee_search,10,29,29.673710627390957,1000000,4,6497588,4
beap_search,10,29,14.505736092270531,1000000,2,1999999,4
heap_search,10,29,42.488933788692584,1000000,6,2000002,4
cd4,10,29,12.585288924737945,1000000,2,2000009,4
cd16,10,29,12.128429114040403,1000000,2,2000008,4
cd64,10,29,11.948852833333333,1000000,2,2000000,4
bee_search,12,35,32.69276995630285,1000000,5,7664222,4
beap_search,12,35,17.09485356880342,1000000,3,1999999,4
heap_search,12,35,42.33193619014084,1000000,7,2000003,4
cd4,12,35,13.540248531066121,1000000,3,2000001,4
cd16,12,35,12.45634304439834,1000000,3,2000001,4
cd64,12,35,12.636445658,1000000,3,2000006,4
bee_search,22,65,59.168568371443946,1000000,20,14242111,4
beap_search,22,65,21.928788466788323,1000000,7,1999999,4
heap_search,22,65,45.9298073057252,1000000,15,2000007,4
cd4,22,65,16.070430562115128,1000000,8,2000002,4
cd16,22,65,17.036420278297875,1000000,9,2000000,4
cd64,22,65,16.114937168187918,1000000,8,2000001,4
bee_search,4,11,17.475001920815135,1000000,0,3259968,5
beap_search,4,11,13.453602376681616,1000000,0,2000342,5
heap_search,4,11,40.119154152,1000000,2,2000000,5
cd4,4,11,12.11857175472076,1000000,0,2004774,5
cd16,4,11,11.761927116440273,1000000,0,2000156,5
cd64,4,11,11.445710939084842,1000000,0,2000766,5
bee_search,6,17,20.913490538327526,1000000,1,4411928,5
beap_search,6,17,12.45683405466805,1000000,1,2000008,5
heap_search,6,17,41.81978700801394,1000000,3,2000001,5
cd4,6,17,12.1634503556231,1000000,1,2000004,5
cd16,6,17,11.577795688331726,1000000,1,2000021,5
cd64,6,17,11.414129752281369,1000000,1,2000301,5
bee_search,8,23,27.85198042714844,1000000,3,6099523,5
beap_search,8,23,13.895778710763889,1000000,1,1999999,5
heap_search,8,23,43.01369896999242,1000000,4,2000002,5
cd4,8,23,12.386579686790505,1000000,2,2000010,5
cd16,8,23,11.583588322683397,1000000,2,2000009,5
cd64,8,23,11.922058685203575,1000000,2,2000245,5
bee_search,10,29,32.06149747888969,1000000,4,7302525,5
beap_search,10,29,14.97369250224439,1000000,2,1999999,5
heap_search,10,29,42.99256530428571,1000000,5,2000002,5
cd4,10,29,12.830043926328772,1000000,2,2000000,5
cd16,10,29,11.961856633864542,1000000,2,2000035,5
cd64,10,29,12.141445223356927,1000000,2,2000001,5
bee_search,12,35,38.30971984091385,1000000,6,8684961,5
beap_search,12,35,15.719235104180528,1000000,2,1999999,5
heap_search,12,35,41.11292655684931,1000000,6,2000003,5
cd4,12,35,12.851243088115632,1000000,3,2000018,5
cd16,12,35,12.923346873524112,1000000,3,2000044,5
cd64,12,35,12.404862175309917,1000000,3,2000007,5
bee_search,22,65,50.92209335635433,1000000,17,12363322,5
beap_search,22,65,23.432850247488258,1000000,7,2000000,5
heap_search,22,65,44.76951548671186,1000000,13,2000007,5
cd4,22,65,16.807726133650323,1000000,8,2000002,5
cd16,22,65,16.416718354172367,1000000,8,1999999,5
cd64,22,65,16.97356364582744,1000000,9,1999999,5
bee_search,4,11,20.784543806499553,1000000,1,3579959,1
beap_search,4,11,13.301798592469545,1000000,0,2000113,1
heap_search,4,11,41.15627593938356,1000000,1,2000000,1
cd4,4,11,12.02585401482966,1000000,1,2001052,1
cd16,4,11,12.301997105532788,1000000,1,2005392,1
cd64,4,11,11.907666939523805,1000000,0,2005199,1
bee_search,6,17,20.83456837569444,1000000,1,4232160,1
beap_search,6,17,12.797348207675904,1000000,1,2000001,1
heap_search,6,17,43.526542831159425,1000000,2,2000001,1
cd4,6,17,11.982250879341318,1000000,1,2000031,1
cd16,6,17,11.654471204375179,1000000,1,2000051,1
cd64,6,17,11.092929130314234,1000000,1,2000011,1
bee_search,8,23,24.796699633057855,1000000,2,5482530,1
beap_search,8,23,13.67788361287016,1000000,1,1999999,1
heap_search,8,23,42.15472316280702,1000000,4,2000001,1
cd4,8,23,12.25559690080612,1000000,1,2000010,1
cd16,8,23,11.491608431483254,1000000,2,2000007,1
cd64,8,23,11.76883550647059,1000000,2,2000008,1
bee_search,10,29,26.998433780697088,1000000,4,6080173,1
beap_search,10,29,15.35202197544757,1000000,2,1999999,1
heap_search,10,29,42.35841124894365,1000000,6,2000002,1
cd4,10,29,12.975712152324325,1000000,3,2000019,1
cd16,10,29,11.772916504019607,1000000,2,2000003,1
cd64,10,29,12.43932432,1000000,2,2000002,1
bee_search,12,35,32.12938654579154,1000000,5,7331616,1
beap_search,12,35,15.595243365324675,1000000,2,2000002,1
heap_search,12,35,45.587950520397456,1000000,7,2000004,1
cd4,12,35,12.733066876033934,1000000,3,2000024,1
cd16,12,35,13.334590896666667,1000000,3,1999999,1
cd64,12,35,12.64849425216017,1000000,3,2000010,1
bee_search,22,65,55.82308421936155,1000000,19,12980410,1
beap_search,22,65,21.31802258756661,1000000,7,1999999,1
heap_search,22,65,46.72139839727627,1000000,15,2000007,1
cd4,22,65,16.62766909903047,1000000,8,1999999,1
cd16,22,65,16.887188969338958,1000000,9,2000000,1
cd64,22,65,16.364347440054498,1000000,8,1999999,1
bee_search,4,11,16.77364380142995,1000000,0,3146000,2
beap_search,4,11,12.877006279291844,1000000,0,2000397,2
heap_search,4,11,81.929,1000000,600000,2200000,2
cd4,4,11,11.475596982217974,1000000,0,2002320,2
cd16,4,11,11.055599998987109,1000000,0,2000555,2
cd64,4,11,11.611315954545454,1000000,0,2002166,2
bee_search,6,17,21.00453927548166,1000000,1,4552314,2
beap_search,6,17,11.920352059880832,1000000,0,2000000,2
heap_search,6,17,42.84621268082784,1000000,2,2000001,2
cd4,6,17,11.53219081690682,1000000,1,2000151,2
cd16,6,17,11.647486404655673,1000000,1,2000046,2
cd64,6,17,11.5139275837575,1000000,1,2000070,2
bee_search,8,23,25.206822448074263,1000000,2,5657584,2
beap_search,8,23,13.372623673830736,1000000,1,2000000,2
