search,non_terminals,derivation_rules,time,programs,queue,bank,seed
bee_search,4,11,0.248386909,10000,6,35812,1
bee_search,4,11,0.437976491,20000,6,72159,1
bee_search,4,11,0.65134404,30000,6,107834,1
bee_search,4,11,0.845904922,40000,6,143396,1
bee_search,4,11,1.0479792,50000,6,179531,1
bee_search,4,11,1.224250813,60000,6,219515,1
bee_search,4,11,1.417573527,70000,6,249135,1
bee_search,4,11,1.659601056,80000,6,291719,1
bee_search,4,11,1.804716383,90000,6,321387,1
bee_search,4,11,2.054610248,100000,6,362438,1
bee_search,4,11,2.199594776,110000,6,392310,1
bee_search,4,11,2.35733043,120000,6,426483,1
bee_search,4,11,2.609673531,130000,6,462552,1
bee_search,4,11,2.773970998,140000,6,497148,1
bee_search,4,11,2.938990448,150000,6,531346,1
bee_search,4,11,3.20872095,160000,6,564856,1
bee_search,4,11,3.398396085,170000,6,608882,1
bee_search,4,11,3.572025938,180000,6,647346,1
bee_search,4,11,3.738236896,190000,6,682940,1
bee_search,4,11,4.010203226,200000,6,708217,1
bee_search,4,11,4.17250563,210000,6,744015,1
bee_search,4,11,4.378244811,220000,6,794983,1
bee_search,4,11,4.524716453,230000,6,824827,1
bee_search,4,11,4.672892387,240000,6,855761,1
bee_search,4,11,5.017451381,250000,6,894361,1
bee_search,4,11,5.169924692,260000,6,925437,1
bee_search,4,11,5.352003277,270000,6,966739,1
bee_search,4,11,5.518105532,280000,6,1002931,1
bee_search,4,11,5.722224188,290000,6,1052310,1
bee_search,4,11,5.831590842,300000,6,1069013,1
bee_search,4,11,6.247493448,310000,6,1119109,1
bee_search,4,11,6.37378842,320000,6,1142616,1
bee_search,4,11,6.517239022,330000,6,1171428,1
bee_search,4,11,6.714107243,340000,6,1219010,1
bee_search,4,11,6.829447968,350000,6,1237964,1
bee_search,4,11,7.019653376,360000,6,1283593,1
bee_search,4,11,7.215469902,370000,6,1331439,1
bee_search,4,11,7.373102979,380000,6,1366014,1
bee_search,4,11,7.811476518,390000,6,1403132,1
bee_search,4,11,7.938080477,400000,6,1425705,1
bee_search,4,11,8.172594935,410000,6,1485819,1
bee_search,4,11,8.317193394,420000,6,1509519,1
bee_search,4,11,8.4632463,430000,6,1535820,1
bee_search,4,11,8.601678009,440000,6,1560674,1
bee_search,4,11,8.797044058,450000,6,1606943,1
bee_search,4,11,8.937840547,460000,6,1632962,1
bee_search,4,11,9.138879312,470000,6,1682717,1
bee_search,4,11,9.240527393,480000,6,1696745,1
bee_search,4,11,10.103630205,490000,6,1759462,1
bee_search,4,11,10.257097243,500000,6,1791067,1
bee_search,4,11,10.500517448,510000,6,1854321,1
bee_search,4,11,10.591503138,520000,6,1864321,1
bee_search,4,11,10.73781267,530000,6,1892535,1
bee_search,4,11,10.885457924,540000,6,1918885,1
bee_search,4,11,11.124833541,550000,6,1980749,1
bee_search,4,11,11.263406004,560000,6,2008090,1
bee_search,4,11,11.36493733,570000,6,2023015,1
bee_search,4,11,11.503587717,580000,6,2050565,1
bee_search,4,11,11.756923535,590000,6,2118891,1
bee_search,4,11,11.87646272,600000,6,2138896,1
bee_search,4,11,11.990572504,610000,6,2157006,1
bee_search,4,11,12.72626675,620000,6,2219126,1
bee_search,4,11,12.835585781,630000,6,2233464,1
