search,non_terminals,derivation_rules,time,programs,queue,bank,seed
beap_search,1,11,17.969652249127048,1000000,5146,1000000,4
heap_search,1,11,43.821810301459855,1000000,80282,1000000,4
cd4,1,11,9.761646695772358,1000000,417,1000000,4
cd16,1,11,9.46687050197161,1000000,630,999999,4
cd64,1,11,9.797402625714286,1000000,2107,999999,4
bee_search,1,17,9.842520990983607,1000000,306,999999,4
beap_search,1,17,14.448431709747291,1000000,7491,1000000,4
heap_search,1,17,43.07301468709677,1000000,67836,1000000,4
cd4,1,17,9.659175719066774,1000000,747,1000000,4
cd16,1,17,9.084284871915216,1000000,1285,1000000,4
cd64,1,17,9.263300977469136,1000000,3631,1000000,4
bee_search,1,23,10.01695123397329,1000000,413,1000000,4
beap_search,1,23,17.752016124408282,1000000,12896,1000000,4
heap_search,1,23,44.632324460223046,1000000,64087,999999,4
cd4,1,23,10.217681158042552,1000000,923,1000000,4
cd16,1,23,9.95095566981758,1000000,2424,1000000,4
cd64,1,23,9.849515893601312,1000000,3451,1000000,4
bee_search,1,29,10.081295368849707,1000000,520,1000000,4
beap_search,1,29,19.614298041503268,1000000,13376,1000000,4
heap_search,1,29,44.01536486849817,1000000,65927,999999,4
cd4,1,29,10.950280523540146,1000000,1084,1000000,4
cd16,1,29,10.240163854863482,1000000,2104,1000000,4
cd64,1,29,10.487658004803494,1000000,4188,1000000,4
bee_search,1,35,10.376828344079515,1000000,573,1000000,4
beap_search,1,35,20.16255775251678,1000000,14654,1000000,4
heap_search,1,35,43.743900548,1000000,57699,1000000,4
cd4,1,35,11.103950743570767,1000000,1130,1000000,4
cd16,1,35,10.549756931370826,1000000,2364,1000000,4
cd64,1,35,10.945835513491339,1000000,4915,999999,4
bee_search,1,65,10.34241896555133,1000000,707,1000000,4
beap_search,1,65,23.742184918379447,1000000,14671,1000000,4
heap_search,1,65,41.647686325951554,1000000,37540,999999,4
cd4,1,65,12.856308499238951,1000000,1065,1000000,4
cd16,1,65,12.029224205410822,1000000,2372,1000000,4
cd64,1,65,12.75694645887354,1000000,6480,1000000,4
bee_search,1,11,9.820062439958567,1000000,132,1000000,5
beap_search,1,11,13.7729306293578,1000000,3863,1000000,5
heap_search,1,11,48.47152986491935,1000000,136332,999999,5
cd4,1,11,9.464974204495268,1000000,340,999999,5
cd16,1,11,9.239834146112395,1000000,500,1000000,5
cd64,1,11,9.78913460579119,1000000,1807,1000000,5
bee_search,1,17,9.482282512480253,1000000,272,1000000,5
beap_search,1,17,13.69237620114025,1000000,8516,1000000,5
heap_search,1,17,45.57237616856061,1000000,98023,1000000,5
cd4,1,17,9.638690994637225,1000000,692,999999,5
cd16,1,17,8.97358268266069,1000000,1303,1000000,5
cd64,1,17,9.14486798804265,1000000,3155,1000000,5
bee_search,1,23,9.549839099681781,1000000,360,1000000,5
beap_search,1,23,15.66964249856397,1000000,10724,1000000,5
heap_search,1,23,43.68193944872727,1000000,79457,1000000,5
cd4,1,23,9.788702392659054,1000000,1137,1000000,5
cd16,1,23,9.813392821095666,1000000,2124,1000000,5
cd64,1,23,9.370495088290397,1000000,4748,1000000,5
bee_search,1,29,10.079049191939546,1000000,486,1000000,5
beap_search,1,29,17.208809932378223,1000000,12520,999999,5
heap_search,1,29,43.207217390647486,1000000,61570,1000000,5
cd4,1,29,11.114929414907406,1000000,1246,1000000,5
cd16,1,29,10.139557364527027,1000000,2635,1000000,5
cd64,1,29,10.164145303640982,1000000,6148,1000000,5
bee_search,1,35,9.928686377502068,1000000,519,1000000,5
beap_search,1,35,18.596415434365326,1000000,11554,1000000,5
heap_search,1,35,41.87082486620209,1000000,64120,1000000,5
cd4,1,35,10.95478989270073,1000000,1374,1000000,5
