solved,solution,programs,time,program_probability
False,,66,348.3593836929649,5.1104487802095e+18
False,,308,309.35953997599427,1.7978204292048e+19
False,,1680,307.95977583993226,1624867633147500.0
False,,134,308.2741259089671,2.09328232608e+17
False,,1132,319.30037900502793,943898229488000.0
False,(str2int var0),1,0.0002487830352038145,5290.0
False,,2380,318.59525910997763,3.1361616840015e+19
False,,130,304.0417941600317,1042249600000000.0
False,(< 1 (firstindexof var0 var2)),3,2.896752246073447,477409561200.0
False,,10192,309.33664290304296,2.7008099466264e+19
False,,451,304.5733809530502,1.7281812128e+17
False,,101,310.52395138400607,2616602907600000.0
False,,760,323.5264801059384,7.157575457075578e+23
False,,683,317.5931142680347,7.157575457075578e+23
False,,203,324.09552025899757,3.0474937961433e+22
False,(concat var1 (concat   var0)),329,6.433474158053286,9644670000000.0
False,(concat var0 (concat   var1)),149,24.381842042086646,12145140000000.0
False,,118,308.46933145809453,1042249600000000.0
False,,515,318.51579719700385,7.157575457075578e+23
False,,2015,307.6658555029426,3.84822333e+17
False,,123,312.40540387202054,2.221934252265e+17
False,,37,397.9004063629545,3010899566400000.0
False,,816,302.2499214520212,4.1942575796184e+22
False,,96,314.1840628350619,2.221934252265e+17
False,,902,309.3599121749867,1.4222541648e+21
False,,98,311.10712830896955,2.221934252265e+17
False,,17765,322.0192251090193,6239026798200000.0
False,,882,300.3478527890984,4.1942575796184e+22
False,(concat var0 (concat   var1)),313,6.504600910004228,9644670000000.0
False,,274,310.52799475495704,14499127688000.0
False,,168,307.90565218403935,3.087685868698305e+17
False,,816,302.50856840307824,4.1942575796184e+22
False,(at (concat   var0) var1),30,0.35355787293519825,1162556850000.0
False,,689,300.63066162297036,1.0713405018752352e+23
False,,515,319.34791360097006,7.157575457075578e+23
False,,871,306.65852180996444,4.6217494074024e+17
False,,683,315.7037301189266,7.157575457075578e+23
False,(len var0),4,0.040039794985204935,186530.0
False,,112,305.5383939429885,2.221934252265e+17
False,,11290,304.0930178499548,2.5089293472012e+21
False,,828,317.0315705880057,7.157575457075578e+23
False,,2787,302.5047982620308,3.1361616840015e+19
False,(concat var1 (concat   var0)),329,6.300577834015712,9644670000000.0
False,,619,315.6757227060152,943898229488000.0
False,,1821,304.49676989694126,3.1361616840015e+19
False,,1463,303.3558680869173,1777109637895200.0
False,,576,317.28110741695855,7.157575457075578e+23
False,,766,313.47777921298984,1.2264721129216876e+26
False,,257,305.84852996794507,1.4276809290744e+19
False,,2380,318.1705377580365,3.1361616840015e+19
False,,33,1167.4065842980053,2334442766947200.0
False,,589,315.1202926740516,1.1470232622149038e+22
False,,989,305.2079092679778,1.07586175542048e+21
False,,459,309.6411271279212,3.4702114992666975e+20
False,,17765,300.76845450897235,6239026798200000.0
False,,77,322.2106035000179,1.70918019405e+17
False,,8464,301.9560569439782,3.858057586656e+17
False,,955,308.253851077985,1.79753100924852e+19
False,,131,332.1485831720056,1042249600000000.0
False,,800,304.5155747050885,978515523968000.0
False,,51251,307.8810768080875,1.87665024393e+19
False,,81,315.26918095198926,3.1233635081585997e+20
False,,260,300.2324822349474,1.690178805e+17
False,,85,317.2834730880568,14499127688000.0
False,,25,350.08734352106694,5.0517940567248e+18
False,,111,303.31380191701464,1.690178805e+17
False,,210,300.75241804204416,2.196432198576e+17
False,,11287,301.67152590700425,9.19995267355164e+19
False,,84,307.46757862495724,14499127688000.0
False,,683,314.0188270220533,7.157575457075578e+23
False,,559,319.26360384596046,5.92282265250816e+24
False,,515,319.2538508879952,7.157575457075578e+23
False,,809,300.1091055460274,3.84822333e+17
False,,717,323.8487921950873,5.201557042383387e+20
False,,1732,300.20418705500197,1593388793041500.0
False,,340,300.0904591999715,2.7103049442e+17
False,,227,311.022349954932,14499127688000.0
False,,513,323.4138020729879,7.47013445273088e+22
False,,2385,315.42103997804224,3.1361616840015e+19
False,,914,300.9216576210456,2598625426600000.0
False,(indexof var1 (at var0 1) (- 1 -1)),84,163.5453507960774,5.1966259871526e+19
False,,683,316.08790953003336,7.157575457075578e+23
False,,224,332.09707642905414,2.4158523508245e+17
False,,51251,304.0782354819821,1.87665024393e+19
False,,1177,312.11077647597995,4.375620740736e+17
False,,683,319.2030376980547,7.157575457075578e+23
False,,873,300.05980970698874,1593388793041500.0
False,(concat var1 (concat   var0)),430,7.617936686030589,9644670000000.0
False,,120,309.57786684599705,1.70922685185e+17
False,(concat var1 (concat   var0)),430,7.626477814977989,9644670000000.0
False,(< 1 (firstindexof var0 var1)),4,0.9343644588952884,337760280000.0
False,,1224,312.3800227290485,1.5414764538159e+19
False,,882,303.0006252019666,4.1942575796184e+22
False,,111,309.07679359288886,1042249600000000.0
False,,216,341.61938815005124,1378375096000000.0
False,,10589,300.62191545194946,3.65124058992e+19
False,,124,310.9811954930192,1042249600000000.0
False,,827,323.02710107003804,5.201557042383387e+20
False,,459,301.5148288960336,1.0713405018752352e+23
False,(- (len var0) var2),40,12.68048058100976,30368949300.0
False,(suffixof var0 var1),3,0.17030871310271323,48332700.0
False,,576,325.92621552804485,7.157575457075578e+23
False,,62,326.87218160100747,2.7969884712e+17
False,(< (firstindexof var0 overhead) 0),14,4.179782346938737,451829664000.0
False,,22590,303.29975946899503,1.9587061593792e+21
False,,753,301.51624983001966,4.1942575796184e+22
False,,1877,311.47902708593756,2.676574256877234e+25
False,,284,314.7731986499857,1.4276809290744e+19
False,,809,301.5561195089249,3.84822333e+17
False,,422,300.0037039529998,2.78165871774e+23
False,,793,304.12067205796484,29290470790000.0
False,,322,300.2040311929304,2.0830524237159e+17
False,,2507,321.6294401399791,4.0875075927e+17
False,,270,325.44608355802484,1912316590800000.0
False,(< -1 (firstindexof var0 var1)),7,2.5990985680837184,477409561200.0
