solved,solution,programs,time,program_probability
False,,60,320.5209807520732,5.517347146644378e-21
False,,115,310.11811138293706,1.6551841350909272e-09
False,,312,307.69640942895785,9.085854609794516e-10
False,,436,462.8045118539594,1.4117285474634087e-20
False,,471,396.69797010719776,1.008444227919382e-09
False,(str2int var0),1,0.0011849841102957726,0.0792002464905922
False,,275,330.178054994205,1.464945641314789e-09
False,,83,457.3672145679593,8.2415491743241e-10
False,(contains var0 var2),4,0.032421022886410356,7.289128741082631e-08
False,,911,326.30463224695995,1.2060195268971342e-09
False,,165,372.5892819869332,9.931107178305743e-10
False,,61,346.0171792060137,4.641722849960538e-22
False,,194,311.40134046506137,1.2302466922718078e-09
False,,190,345.8887017730158,1.2302466922718078e-09
False,,137,447.85432008397765,8.351635185970423e-10
False,,233,309.2087025369983,1.2060215396610476e-09
False,,117,363.5906555119436,9.808510725355898e-10
False,,71,459.83218353195116,8.2415491743241e-10
False,,119,318.19322495604865,1.2302466922718078e-09
False,,289,311.9855674451683,1.464945641314789e-09
False,,63,476.2508798588533,8.2415491743241e-10
False,,98,372.9968277509324,2.5664436355999602e-22
False,,124,315.1215812920127,2.581321387495025e-09
False,,55,473.2009867669549,8.2415491743241e-10
False,,225,357.84397191298194,9.038547126894918e-10
False,,56,472.51667570718564,8.2415491743241e-10
False,,2341,361.04936415189877,1.2060195268971342e-09
False,,100,318.17055095685646,2.923075238164887e-09
False,,233,312.2843393031508,1.2060195268971342e-09
False,,154,324.1703143219929,1.2249519825107458e-09
False,,72,393.7548521689605,9.292738409477399e-10
False,,124,315.4279278938193,2.581321387495025e-09
False,(at (concat   var0) var1),29,2.722143719205633,1.5852185339247115e-07
False,,167,382.2274469931144,9.226831738347403e-10
False,,119,324.4971653209068,1.2302484521550767e-09
False,,131,364.8801025089342,1.0961521181586183e-09
False,,190,346.90696140681393,1.2302466922718078e-09
False,(len var0),4,0.0012415209785103798,2.9781768764432743e-05
False,,61,478.7754272581078,8.2415491743241e-10
False,,903,335.99095979402773,1.2060195268971342e-09
False,,124,317.0805917880498,2.581321387495025e-09
False,,338,313.6661267571617,1.2060195268971342e-09
False,,233,317.1028257859871,1.2060195268971342e-09
False,,287,387.47477077599615,1.008444227919382e-09
False,,265,315.9103089659475,1.2060195268971342e-09
False,,562,330.0101886468474,1.1925209518463898e-09
False,,86,323.42162017989904,2.581321387495025e-09
False,,165,364.4134711951483,1.2302466922718078e-09
False,,130,323.829526192043,1.2087116329725687e-09
False,,275,328.510089694988,1.464945641314789e-09
False,,0,0,0
False,,216,377.4646759040188,9.949924317897626e-10
False,,541,440.7218605261296,8.585345044204354e-10
False,,133,379.77783621801063,9.74356464005778e-10
False,,2341,354.58660388714634,1.2060195268971342e-09
False,,40,449.7842968159821,8.2415491743241e-10
False,,799,307.53250252106227,1.2060195268971342e-09
False,,297,329.9512279718183,1.2302466922718078e-09
False,,84,450.5179586149752,8.2415491743241e-10
False,,367,373.89450655994006,1.0957594432398478e-09
False,,1373,334.10229213698767,1.4921504559881956e-09
False,,43,450.3647825131193,8.2415491743241e-10
False,,105,353.53757606912404,1.2087116329725687e-09
False,,47,453.1556164531503,8.2415491743241e-10
False,,71,334.50190654187463,1.98028058302466e-21
False,,62,488.20405803690664,8.2415491743241e-10
False,,103,519.8455055500381,8.2415491743241e-10
False,,789,325.60050403210334,1.467787599850354e-09
False,,48,490.35808305907995,8.2415491743241e-10
False,,190,357.80365825095214,1.2302466922718078e-09
False,,141,324.2267421740107,1.3475950830809963e-09
False,,119,338.07392400992103,1.2302484521550767e-09
False,,165,324.7005219720304,1.3235077891832985e-09
