solved,solution,programs,time,program_probability
False,,758,386.8973491759971,4.680418777427882e+29
False,,102996,300.0800787350163,5.901746199001471e+29
False,,308138,300.0568900179933,6.619524147346468e+35
False,(firstindexof var1 (at (concat var1 (concat var1 var1)) (firstindexof var0 _))),8319,185.96849043603288,2.07030396818645e+25
False,,585201,300.12975038797595,1.1980208659707571e+27
False,(str2int var0),7,0.011623619997408241,206080.0
False,,71560,308.73314300499624,1.1634715162007958e+22
False,,175347,300.23979047697503,5.8178770574801474e+25
False,(contains var0 var2),3,0.22422779200132936,85420989.0
False,,740436,300.4920137760346,4.2262365335992895e+21
False,,406295,300.0692291150335,4.825194614115108e+25
False,(firstindexof var0 (at var0 (firstindexof (concat   (lower var0)) var1))),2359,74.24639667698648,3.74697389353883e+23
False,,399721,301.3737950460054,1.3962210500167986e+23
False,,307379,315.4729238609434,1.04992142470671e+30
False,,566642,301.51459961599903,7.271635063972479e+22
False,(concat var1 (concat   var0)),52,0.004082364030182362,29937843000.0
False,(concat var0 (concat   var1)),27,0.0024138609878718853,37699506000.0
False,,178640,300.1299091509427,3.1686393647040343e+27
False,(substr (concat var0 var0) (* 2 4) (firstindexof (concat var0  )  )),9743,15.4084675880149,7.042894005598185e+26
False,,81013,300.9455576010514,7.839955447604388e+28
False,,176939,300.065041001013,1.2978686172185392e+34
False,,2152,307.2661761729978,1.4114446687515916e+40
False,,37461,305.7728282850003,5.016336458682532e+20
False,,37768,301.4945062419865,1.427976102546506e+32
False,,569842,300.67221979703754,9.995992538402057e+28
False,,34769,300.21404334303224,1.1438138883784807e+31
False,,886601,318.3990648649633,1689865856640000.0
False,,35770,320.30148649890907,2738276987232000.0
False,(concat var0 (concat   var1)),36,0.0029333338607102633,29937843000.0
False,,329165,300.0545368739404,1.1204372743489579e+27
False,,268899,300.7930165119469,1.0067786370328677e+36
False,,37838,326.12351919990033,1.40051011223552e+19
False,(at (concat   var0) var1),54,0.03940209816209972,355932201300.0
False,(replace var0 (substr (concat   var0) 1 var1) ),30882,66.19938055681996,8.459444940690225e+21
False,(substr (concat   var0) 5 (* 2 4)),1469,1.4124177750200033,2.426155425408e+18
False,,396308,346.41725456900895,6.521143559314141e+31
False,(substr var0 1 (firstindexof var0  )),6197,3.1787533699534833,936169861120000.0
False,(len var0),10,0.010122335981577635,198260.0
False,(substr (concat   var0) 1 (+ 1 (firstindexof var0  ))),31935,43.955963789951056,6.770370408276923e+23
False,,291084,302.76544960192405,7.839955447604387e+28
False,(substr var0 1 (firstindexof var0  )),6197,38.13578986702487,936169861120000.0
False,"(concat var0 (concat , (concat   var1)))",387,0.06261557503603399,499895449560000.0
False,(concat var1 (concat   var0)),52,0.003730177180841565,29937843000.0
False,(substr (concat   var0) 1 (firstindexof var0 Inc)),175410,44.7083094259724,1.317962055279168e+19
False,(concat (at (concat   var0) 1) (concat . (concat   var1))),228809,115.37505155685358,1.0326717222729887e+24
False,,978770,319.72605467098765,8.884682508165305e+23
False,(substr (concat   var0) 1 4),385,4.039267298066989,162176164800000.0
False,(concat ( (replace var0 - (concat )  ))),36238,28.106395884184167,4.6001021996571034e+18
False,,430520,300.05180894304067,1.982808922576186e+33
False,,85903,312.19002038496546,9.872536489575895e+28
False,,55,340.60103120608255,0.0
False,,694531,301.1759260469116,8.44185321203328e+21
False,,835566,319.00566808204167,4.254930464562808e+28
False,,331491,300.10992330498993,5.804511628954347e+29
False,,906350,307.795064304024,3.56635540383408e+20
False,,324224,304.5227903970517,2.307436167001838e+29
False,,977590,302.32635287800804,2.333530536556264e+25
False,,1066326,300.00001094606705,1.3983299859549968e+35
False,(substr (concat   var0) 1 (firstindexof (concat   var0) .)),16943,18.024278186028823,1.2076960588512769e+23
False,(substr (concat   var0) 1 (firstindexof var0 1)),134390,28.291755606886,1.416406803222528e+19
False,,503189,300.00016940105706,4.073279799627675e+17
False,(replace (replace var0   -)   -),26663,50.810628487030044,1.5800899671792e+18
False,(substr (concat   var0) 1 (+ 1 (firstindexof var0  ))),40807,247.73188844509423,4.0061363362585345e+23
False,,356910,300.2699699078221,3.1644356191943436e+29
False,,254,302.2561631500721,3.758097645292071e+26
False,,175835,300.6354424690362,3.654194588360665e+28
False,,362279,303.92170018400066,6.138039112185592e+26
False,,291084,302.06552659883164,7.839955447604387e+28
